epoch,n,loss_mean,approx_kl_mean,clipfrac_mean,reward_mean_mean,reward_std_mean,loss_std,approx_kl_std,clipfrac_std,reward_mean_std,reward_std_std
0,4,3.786271364852878e-06,7.2805362155703435e-09,0.05499999783933163,-101.897,42.29951840742398,0.999984779053766,9.724272669745547e-09,0.025980759919719855,0.0,0.0
1,4,2.952174190634649e-06,1.3563049849896203e-09,0.03499999921768904,-105.34949999999999,26.30656502187239,0.9999879162397699,5.851499285884819e-10,0.016583123581115293,0.0,0.0
2,4,-3.372759860398311e-06,1.9238866133877708e-09,0.019999999552965164,-109.97449999999999,12.395860145629266,0.9999869771992069,2.574165609133812e-09,0.014142135307629587,0.0,0.0
3,4,2.283088086599272e-06,1.4920798867279483e-09,0.019999999552965164,-117.65099999999998,29.797731432107373,0.9999869895472177,1.2290301020299757e-09,0.014142135307629587,0.0,0.0
4,4,2.3139420351203643e-06,8.370860983542006e-10,0.019999999552965164,-107.24325000000002,21.66798530522624,0.9999935112887773,9.064722998290577e-10,0.014142135307629587,0.0,0.0
5,4,-7.590533657869658e-07,3.604676904189752e-10,0.019999999552965164,-109.881,33.084643424102374,0.9999964954732697,1.7160218969294347e-10,0.014142135307629587,0.0,0.0
6,4,5.729404584674247e-06,1.2249585581991518e-09,0.029999999329447746,-118.23175,13.486647663059195,1.0000012752960954,8.35513718151823e-10,0.009999999776482582,0.0,0.0
7,4,2.112943516971444e-06,1.3250009353593661e-09,0.03499999921768904,-107.52425000000001,8.61711504434634,0.9999893162407961,6.898303082334827e-10,0.008660253844272624,0.0,0.0
8,4,5.741010361968307e-06,1.1074515401943152e-09,0.029999999329447746,-72.33675,9.597278921001516,0.999986692472975,1.0437784726546241e-09,0.009999999776482582,0.0,0.0
9,4,6.317738371522386e-06,2.1966875818346665e-09,0.029999999329447746,-100.82600000000001,22.577514577561452,0.9999920464181451,2.79243813601743e-09,0.017320507688545247,0.0,0.0
10,4,-1.3508780036808332e-06,1.5903423612739775e-09,0.009999999776482582,-93.316,21.22004126998814,0.999994824221979,2.4197301579912566e-09,0.009999999776482582,0.0,0.0
11,4,1.4516198352243492e-06,1.8030774998067933e-09,0.024999999441206455,-137.323,23.11326868921832,0.9999929230739388,1.3730276641082271e-09,0.008660253844272624,0.0,0.0
12,4,1.2625070532762406e-06,5.455990936820143e-10,0.024999999441206455,-111.34774999999999,21.08320442170735,0.9999971988987074,2.387233235451038e-10,0.008660253844272624,0.0,0.0
13,4,-7.491039565876711e-07,2.0389384972063773e-09,0.024999999441206455,-95.14849999999998,36.659124733823084,0.9999925509102783,2.6503853910101425e-09,0.016583123581115293,0.0,0.0
14,4,4.73382808090228e-06,9.756248656178634e-10,0.024999999441206455,-115.40075,15.622198842912601,0.9999936122739959,8.570272827590031e-10,0.016583123581115293,0.0,0.0
15,4,1.58569658800789e-06,5.715945008977208e-10,0.029999999329447746,-107.52674999999999,19.456372816830477,0.9999941190421886,3.187556981354967e-10,0.009999999776482582,0.0,0.0
16,4,-1.0179833365153712e-07,4.078761113579521e-10,0.014999999664723873,-105.57274999999998,41.35134539755025,0.9999960523664843,2.5170552635680463e-10,0.008660253844272624,0.0,0.0
17,4,5.503387370570101e-06,7.297425511088029e-10,0.029999999329447746,-103.53975000000001,21.230786977582813,0.9999952136892801,6.29053059011361e-10,0.022360679275197755,0.0,0.0
18,4,3.861405523358785e-06,7.820609507214193e-10,0.019999999552965164,-132.014,37.29087411820753,0.9999962407193366,9.268118477053114e-10,0.014142135307629587,0.0,0.0
19,4,2.752520923021695e-06,1.1051821922902771e-09,0.024999999441206455,-113.996,26.147644272477017,0.9999939356775652,1.2351709099235666e-09,0.008660253844272624,0.0,0.0
