epoch,inner_epoch,_step,history_step_num,loss,approx_kl,clipfrac,reward,reward_mean,reward_std,_runtime,_timestamp,images/_type,images/captions,images/count,images/filenames,images/format,images/height,images/width
2,0,11,11,1.6447571845209934,6.35605967858055e-09,0.03999999910593033,,,,135.795075926,1776521208.14014,,,,,,,
3,0,12,12,0.3758992197964633,1.707961966301852e-10,0,"[-77.031, -106.443, -158.278, -128.852]",-117.65099999999998,29.797731432107373,151.581897117,1776521224.658724,images/separated,"['clumber, clumber spaniel | -128.85']",1,['media/images/images_11_86c73da3ea9b25a3d482.jpg'],jpg,256,256
3,0,13,13,1.3634118843097571,1.5393539776198395e-09,0.019999999552965164,,,,159.551559264,1776521232.4935353,,,,,,,
3,0,14,14,-0.37613398876257764,8.095233372529265e-10,0.03999999910593033,,,,167.581446326,1776521240.4632285,,,,,,,
3,0,15,15,-1.3631679829912964,3.448646035408842e-09,0.019999999552965164,,,,176.341846077,1776521248.4930634,,,,,,,
4,0,16,16,1.1055322985768987,5.490294885390767e-10,0.03999999910593033,"[-89.099, -82.451, -131.198, -126.225]",-107.24325000000002,21.66798530522624,191.888865662,1776521264.9925332,images/separated,"['nematode, nematode worm,  | -126.22']",1,['media/images/images_15_1bfa566d591552fc475b.jpg'],jpg,256,256
4,0,17,17,0.8760224854787589,1.395032284134956e-10,0,,,,199.626208147,1776521272.8007193,,,,,,,
4,0,18,18,-1.1441834741688706,2.7363242227629314e-10,0.019999999552965164,,,,207.635841503,1776521280.537906,,,,,,,
4,0,19,19,-0.8373620541186466,2.3861792541879367e-09,0.019999999552965164,,,,216.423246965,1776521288.5473719,,,,,,,
5,0,20,20,0.1339291681600821,8.816361529717653e-11,0,"[-159.675, -97.071, -114.312, -68.466]",-109.881,33.084643424102374,232.246297567,1776521305.2117167,images/separated,"['junco, snowbird | -68.47']",1,['media/images/images_19_a04f9ce1516d4bf55d84.jpg'],jpg,256,256
5,0,21,21,-0.3871856414773739,3.8351269382452813e-10,0.019999999552965164,,,,240.334360008,1776521313.15799,,,,,,,
5,0,22,22,-1.251787872397565,4.074968973366566e-10,0.03999999910593033,,,,248.462085891,1776521321.246063,,,,,,,
5,0,23,23,1.5050413095013937,5.626975552175395e-10,0.019999999552965164,,,,257.217602837,1776521329.373632,,,,,,,
6,0,24,24,-0.11490870798993527,1.2779965974374363e-09,0.019999999552965164,"[-116.682, -110.726, -140.477, -105.042]",-118.23175,13.486647663059195,272.811699426,1776521345.878761,images/separated,"['Angora, Angora rabbit | -105.04']",1,['media/images/images_23_c9a160bb83bd3175b562.jpg'],jpg,256,256
6,0,25,25,-0.9779829598748415,3.9262779139015436e-10,0.019999999552965164,,,,280.700912672,1776521353.723291,,,,,,,
6,0,26,26,-0.5565214867343293,2.5614672605200894e-09,0.03999999910593033,,,,288.569290358,1776521361.6124809,,,,,,,
6,0,27,27,1.6494360722174448,6.67742583448927e-10,0.03999999910593033,,,,297.234201907,1776521369.4810083,,,,,,,
7,0,28,28,-0.27425024457297237,3.361138867230551e-10,0.03999999910593033,"[-111.883, -94.898, -118.155, -105.161]",-107.52425000000001,8.61711504434634,312.777449647,1776521385.861021,images/separated,['conch | -105.16'],1,['media/images/images_27_bb56cb3552418f3191ac.jpg'],jpg,256,256
7,0,29,29,1.2336693351385495,1.5864790592345912e-09,0.019999999552965164,,,,320.587871478,1776521393.6890492,,,,,,,
7,0,30,30,-1.4652323150630744,1.1443557212942324e-09,0.03999999910593033,,,,328.443116165,1776521401.499553,,,,,,,
7,0,31,31,0.5058216762715652,2.233055074185586e-09,0.03999999910593033,,,,337.16247498,1776521409.3545234,,,,,,,
8,0,32,32,0.7092857121676398,6.351197345821902e-10,0.03999999910593033,"[-56.458, -79.144, -73.077, -80.668]",-72.33675,9.597278921001516,352.87405957,1776521425.8648021,images/separated,"['tiger shark, Galeocerdo c | -80.67']",1,['media/images/images_31_5ecd5ee0dfe4f1d7959f.jpg'],jpg,256,256
8,0,33,33,0.07713075117170066,2.467606396994171e-10,0.019999999552965164,,,,360.97321689,1776521433.7857034,,,,,,,
8,0,34,34,0.8680825212687872,6.546923558836681e-10,0.019999999552965164,,,,369.084155067,1776521441.8850293,,,,,,,
8,0,35,35,-1.6544760205666798,2.8932334306119856e-09,0.03999999910593033,,,,377.930547759,1776521449.995745,,,,,,,
9,0,36,36,0.839109566312015,2.824719347316318e-10,0.019999999552965164,"[-89.921, -69.158, -124.454, -119.771]",-100.82600000000001,22.577514577561452,393.51384291,1776521466.5802503,images/separated,"['clumber, clumber spaniel | -119.77']",1,['media/images/images_35_d6f9432597ecfec00526.jpg'],jpg,256,256
9,0,37,37,-1.4026212635221367,1.0617916545996309e-09,0.019999999552965164,,,,401.317786463,1776521474.4256659,,,,,,,
9,0,38,38,1.0465227391708374,4.3566183993704044e-10,0.019999999552965164,,,,409.145319221,1776521482.2295415,,,,,,,
9,0,39,39,-0.48298577100722967,7.006824898070363e-09,0.05999999865889549,,,,417.772552988,1776521490.0571613,,,,,,,
10,0,40,40,-1.2893418190154387,2.0517849919077236e-10,0.019999999552965164,"[-114.567, -65.956, -79.307, -113.434]",-93.316,21.22004126998814,433.519705731,1776521506.479729,images/separated,"['flatworm, platyhelminth | -113.43']",1,['media/images/images_39_c8308393bf22a7315dee.jpg'],jpg,256,256
10,0,41,41,-0.6601759134167295,1.3068926496551114e-10,0,,,,441.357209621,1776521514.431523,,,,,,,
10,0,42,42,0.9480646801739527,2.4466320636129524e-10,0,,,,449.311435473,1776521522.268921,,,,,,,
10,0,43,43,1.0014476487462007,5.7808384745783314e-09,0.019999999552965164,,,,458.178093268,1776521530.223169,,,,,,,
11,0,44,44,-1.326199934406627,2.4199156567483726e-10,0.019999999552965164,"[-158.941, -106.67, -160.403, -123.278]",-137.323,23.11326868921832,473.851172889,1776521546.8997757,images/separated,"['African chameleon, Chamae | -123.28']",1,['media/images/images_43_b86d049014b44389711d.jpg'],jpg,256,256
11,0,45,45,0.9985537156773773,6.772736815818803e-10,0.019999999552965164,,,,481.872822302,1776521554.7628384,,,,,,,
11,0,46,46,-0.6076497390805478,3.4832032813625347e-09,0.019999999552965164,,,,489.775183605,1776521562.7845945,,,,,,,
11,0,47,47,0.9353017642891385,2.809841470607921e-09,0.03999999910593033,,,,498.516059514,1776521570.6868796,,,,,,,
12,0,48,48,-0.6852213041176214,4.3182590836465806e-10,0.019999999552965164,"[-96.901, -142.997, -117.232, -88.261]",-111.34774999999999,21.08320442170735,514.093830268,1776521587.1882179,images/separated,"['Saluki, gazelle hound | -88.26']",1,['media/images/images_47_f0210032228163fa01aa.jpg'],jpg,256,256
12,0,49,49,1.5011580148489108,3.658504887926739e-10,0.019999999552965164,,,,521.986552827,1776521595.0056677,,,,,,,
12,0,50,50,-1.0950254102268222,4.2814049527883924e-10,0.019999999552965164,,,,530.006717529,1776521602.898199,,,,,,,
12,0,51,51,0.27909374952374594,9.56579482291886e-10,0.03999999910593033,,,,538.746931298,1776521610.9183555,,,,,,,
13,0,52,52,-1.06754722779921,1.0678480322212636e-10,0,"[-150.509, -69.042, -56.013, -105.03]",-95.14849999999998,36.659124733823084,554.31086804,1776521627.3832796,images/separated,['macaque | -105.03'],1,['media/images/images_51_abaa940350536278d7b9.jpg'],jpg,256,256
13,0,53,53,1.5101294297358339,4.1350448065635703e-10,0.03999999910593033,,,,562.132999303,1776521635.2227194,,,,,,,
13,0,54,54,-0.7121345291649103,1.0433223174288742e-09,0.019999999552965164,,,,569.986454869,1776521643.0448172,,,,,,,
13,0,55,55,0.26954933081246,6.592142387518152e-09,0.03999999910593033,,,,578.596190468,1776521650.8982282,,,,,,,
14,0,56,56,0.16446106575054792,1.1962744683735593e-10,0,"[-105.908, -117.97, -139.545, -98.18]",-115.40075,15.622198842912601,594.633710742,1776521667.4211328,images/separated,['Australian terrier | -98.18'],1,['media/images/images_55_238e053330920c0a75a8.jpg'],jpg,256,256
14,0,57,57,1.5455053725572903,3.9159386844289656e-10,0.03999999910593033,,,,602.730957325,1776521675.5452776,,,,,,,
14,0,58,58,-1.1023139708245617,1.0524756621776987e-09,0.019999999552965164,,,,610.855836065,1776521683.6424203,,,,,,,
14,0,59,59,-0.6076335321709528,2.3388024850135025e-09,0.03999999910593033,,,,619.696509383,1776521691.7673833,,,,,,,
15,0,60,60,-0.8033155987543293,1.1145147027491475e-09,0.03999999910593033,"[-91.897, -140.856, -97.573, -99.781]",-107.52674999999999,19.456372816830477,635.341934424,1776521708.3803985,images/separated,['admiral | -99.78'],1,['media/images/images_59_a44f56a83e77ccdab931.jpg'],jpg,256,256
15,0,61,61,1.7130165503785935,3.17794485171774e-10,0.019999999552965164,,,,643.368398195,1776521716.2536428,,,,,,,
15,0,62,62,-0.3981059670249296,3.748388821556148e-10,0.03999999910593033,,,,651.323007699,1776521724.2799907,,,,,,,
15,0,63,63,-0.5115886418129825,4.792299335143468e-10,0.019999999552965164,,,,660.553352719,1776521732.234513,,,,,,,
16,0,64,64,-0.8757566404153342,2.7019780857173714e-10,0.019999999552965164,"[-152.915, -69.359, -140.165, -59.852]",-105.57274999999998,41.35134539755025,676.129295426,1776521749.211477,images/separated,"['red-breasted merganser, M | -59.85']",1,['media/images/images_63_cfca62520c77a69ead60.jpg'],jpg,256,256
16,0,65,65,0.8365444737081912,7.332080775857008e-11,0,,,,683.993529939,1776521757.0408728,,,,,,,
16,0,66,66,1.144871023673861,7.182823225093671e-10,0.019999999552965164,,,,692.067481707,1776521764.905314,,,,,,,
16,0,67,67,-1.1056592641600527,5.697035065921341e-10,0.019999999552965164,,,,700.843622636,1776521772.9789314,,,,,,,
17,0,68,68,1.5802638901450186,3.8160719029178836e-10,0.019999999552965164,"[-88.399, -106.139, -137.09, -82.531]",-103.53975000000001,21.230786977582813,716.531257493,1776521789.5329545,images/separated,"['guinea pig, Cavia cobaya | -82.53']",1,['media/images/images_67_cec546abb7746702ed1e.jpg'],jpg,256,256
17,0,69,69,0.12242788470288501,1.413215933165901e-10,0,,,,724.402545117,1776521797.442979,,,,,,,
17,0,70,70,-0.7131375538698496,1.7797529006102764e-09,0.05999999865889549,,,,732.421460187,1776521805.3143218,,,,,,,
17,0,71,71,-0.9895322074285717,6.162885202165569e-10,0.03999999910593033,,,,741.300645112,1776521813.3331344,,,,,,,
18,0,72,72,-1.309185776020976,2.527230924531665e-10,0.019999999552965164,"[-165.562, -170.77, -83.193, -108.531]",-132.014,37.29087411820753,756.944589382,1776521829.9853504,images/separated,"['American chameleon, anole | -108.53']",1,['media/images/images_71_e5422803f672ec361abc.jpg'],jpg,256,256
18,0,73,73,0.8996281816551157,3.693846895025388e-10,0.019999999552965164,,,,764.740835964,1776521837.8564205,,,,,,,
18,0,74,74,1.0392913513055282,1.257425830125669e-10,0,,,,772.662125667,1776521845.6526704,,,,,,,
18,0,75,75,-0.6297183113175745,2.3803934379174052e-09,0.03999999910593033,,,,781.416279611,1776521853.5738606,,,,,,,
19,0,76,76,1.2695193424964328,2.070997678904618e-10,0.019999999552965164,"[-130.833, -147.191, -81.987, -95.973]",-113.996,26.147644272477017,796.965964206,1776521870.0787883,images/separated,['dowitcher | -95.97'],1,['media/images/images_75_4d81fc747b5b9f4c0a61.jpg'],jpg,256,256
19,0,77,77,-0.6892760784723794,3.016615846007653e-10,0.019999999552965164,,,,804.78010934,1776521877.877741,,,,,,,
19,0,78,78,0.6439170303681278,6.905460647743666e-10,0.03999999910593033,,,,812.776737298,1776521885.6917899,,,,,,,
19,0,79,79,-1.2241492843084891,3.221421351895515e-09,0.019999999552965164,,,,812.879409055,1776521893.6885223,,,,,,,
