run_id,run_dir,reward,learning_rate,clip_range,epoch,n,loss_mean,approx_kl_mean,clipfrac_mean,reward_mean_mean,reward_std_mean,loss_std,approx_kl_std,clipfrac_std,reward_mean_std,reward_std_std
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,0,4,3.773600047857206e-07,1.3894339255526855e-09,0.024999999441206455,-102.158,42.53508350174006,0.9999940897918268,1.8130477752328097e-09,0.008660253844272624,0.0,0.0
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,1,4,-1.316374750509608e-06,2.847924500393173e-10,0.014999999664723873,-107.4665,25.677349877859285,0.9999976273082056,2.5742969663123847e-10,0.016583123581115293,0.0,0.0
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,2,4,-2.633587589950803e-07,4.1182071771825313e-10,0.019999999552965164,-107.44325,10.690724165719551,0.9999934617066083,3.038162923719463e-10,0.014142135307629587,0.0,0.0
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,3,4,2.2194414472861967e-06,3.456766426920832e-10,0.009999999776482582,-122.04675,32.82759976281391,0.999993211171348,3.417789977796086e-10,0.017320507688545247,0.0,0.0
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,4,4,1.5258948861673893e-06,4.281540061726319e-10,0.014999999664723873,-108.34224999999999,19.30251775514013,0.9999979076980182,4.2964865623783015e-10,0.008660253844272624,0.0,0.0
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,5,4,1.9878001943245995e-06,2.57744131593185e-10,0.014999999664723873,-112.09649999999999,36.08198706072048,0.999997427039441,1.2677999730051037e-10,0.008660253844272624,0.0,0.0
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,6,4,-3.0571145496864627e-07,1.6438586949996115e-10,0.009999999776482582,-115.7,13.661091043544072,0.9999952467339748,5.330143804913435e-11,0.009999999776482582,0.0,0.0
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,7,4,-1.237744618798331e-06,3.800865611830462e-10,0.014999999664723873,-100.55775,19.595293853053082,0.9999993617078954,3.1944324127830165e-10,0.016583123581115293,0.0,0.0
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,8,4,2.36925106014349e-06,3.099296973577137e-10,0.009999999776482582,-69.4,10.507088749982078,0.9999970872906109,2.663555340835039e-10,0.009999999776482582,0.0,0.0
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,9,4,4.7619327010750556e-07,2.36604475595259e-10,0.014999999664723873,-105.03675,21.437043923719983,0.9999980937212051,1.918827389678874e-10,0.016583123581115293,0.0,0.0
