run_id,run_dir,reward_fn,learning_rate,clip_range,epoch,inner_epoch,_step,history_step_num,loss,approx_kl,clipfrac,reward,reward_mean,reward_std,_runtime,_timestamp,images/_type,images/captions,images/count,images/filenames,images/format,images/height,images/width
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,3,0,15,15,-1.3147264256892035,9.236387210620478e-10,0.03999999910593033,,,,164.361826594,1778062246.7599015,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,4,0,16,16,1.0639919039274157,3.2685385648045795e-11,0,"[-92.203, -86.163, -128.88, -126.123]",-108.34224999999999,19.30251775514013,178.859085977,1778062262.9770865,images/separated,"['nematode, nematode worm,  | -126.12']",1,['media/images/images_15_a9c6f5fc2cec1c4e1480.jpg'],jpg,256,256
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,4,0,17,17,0.9211624236966828,1.1537061306299279e-09,0.019999999552965164,,,,186.153014878,1778062270.2505047,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,4,0,18,18,-1.1490310445045315,2.864895543019941e-10,0.019999999552965164,,,,193.408972209,1778062277.5444784,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,4,0,19,19,-0.8361171795400223,2.397349541105598e-10,0.019999999552965164,,,,201.99520209,1778062284.8003373,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,5,0,20,20,-0.015450911342478215,6.912477534815054e-11,0,"[-168.542, -99.31, -111.539, -68.995]",-112.09649999999999,36.08198706072048,216.530675174,1778062300.6325908,images/separated,"['junco, snowbird | -69.00']",1,['media/images/images_19_6e49c1d0672ae207ba99.jpg'],jpg,256,256
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,5,0,21,21,-0.3543714270644995,4.150389754098427e-10,0.019999999552965164,,,,223.919388891,1778062307.9220705,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,5,0,22,22,-1.1945366223523888,3.15138443118812e-10,0.019999999552965164,,,,231.262787666,1778062315.3106008,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,5,0,23,23,1.5643669119601438,2.3167433249593472e-10,0.019999999552965164,,,,240.134387047,1778062322.6542208,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,6,0,24,24,0.04106549006386213,7.902849208374363e-11,0,"[-116.261, -102.69, -137.727, -106.122]",-115.7,13.661091043544072,254.801974028,1778062338.7678137,images/separated,"['Angora, Angora rabbit | -106.12']",1,['media/images/images_23_47f62c9022e41b8b52e7.jpg'],jpg,256,256
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,6,0,25,25,-0.7011129843341246,1.6323849216792752e-10,0,,,,262.134415733,1778062346.1932635,,,,,,,
